id,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
124,155,155,Devon,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=291,,
125,156,156,LaSalle,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=292,,
126,157,157,Streeterville/Taylor,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=293,,
127,165,165,West 65th,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=294,,
128,169,169,69th-UPS Express,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=296,,
129,170,170,U. of Chicago/Midway,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=297,,
130,171,171,U. of Chicago/Hyde Park,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=298,,
131,172,172,U. of Chicago/Kenwood,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=299,,
132,192,192,University of Chicago Hosp. Exp.,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=302,,
133,N201,N201,Central/Sherman Owl,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=333,,
134,201,201,Central/Ridge,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=304,,
135,205,205,Chicago/Golf,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=305,,
136,206,206,Evanston Circulator,3,http://www.transitchicago.com/riding_cta/busroute.aspx?RouteId=306,,
137,Red,,Red Line,1,http://www.transitchicago.com/riding_cta/systemguide/redline.aspx,FFFFFF,
138,P,,Purple Line,1,http://www.transitchicago.com/riding_cta/systemguide/purpleline.aspx,FFFFFF,
139,Y,,Yellow Line,1,http://www.transitchicago.com/riding_cta/systemguide/yellowline.aspx,000000,
140,Blue,,Blue Line,1,http://www.transitchicago.com/riding_cta/systemguide/blueline.aspx,FFFFFF,
141,Pink,,Pink Line,1,http://www.transitchicago.com/riding_cta/systemguide/pinkline.aspx,FFFFFF,
142,G,,Green Line,1,http://www.transitchicago.com/riding_cta/systemguide/greenline.aspx,FFFFFF,
143,Brn,,Brown Line,1,http://www.transitchicago.com/riding_cta/systemguide/brownline.aspx,FFFFFF,
144,Org,,Orange Line,1,http://www.transitchicago.com/riding_cta/systemguide/orangeline.aspx,FFFFFF,
