"id","station_id_id","stop_id_id","station_name","stop_desc","run_number","route_id","destination_id","destination_name","route_direction_code","prediction_generated","expected_arrival","is_approaching","is_scheduled","is_fit","degree","is_delayed","time_scraped"
74678,30016,30016,"Sheridan","Service toward Howard",834,"Red",30016,"Howard",1,"2012-11-01 02:03:47-05","2012-11-01 02:05:47-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74679,30016,30016,"Sheridan","Service toward Howard",835,"Red",30016,"Howard",1,"2012-11-01 02:03:23-05","2012-11-01 02:20:23-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74680,30037,30037,"Sox-35th","Service toward 95th",934,"Red",30037,"95th/Dan Ryan",5,"2012-11-01 02:03:56-05","2012-11-01 02:05:56-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74681,30037,30037,"Sox-35th","Service toward 95th",840,"Red",30037,"95th/Dan Ryan",5,"2012-11-01 02:03:54-05","2012-11-01 02:21:54-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
74682,30036,30036,"Sox-35th","Service toward Howard",836,"Red",30036,"Howard",1,"2012-11-01 02:03:49-05","2012-11-01 02:08:49-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74683,30170,30170,"Thorndale","Service toward 95th",936,"Red",30170,"95th/Dan Ryan",5,"2012-11-01 02:03:41-05","2012-11-01 02:07:41-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74684,30169,30169,"Thorndale","Service toward Howard",834,"Red",30169,"Howard",1,"2012-11-01 02:03:47-05","2012-11-01 02:13:47-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74685,30106,30106,"Wilson","Service toward 95th",936,"Red",30106,"95th/Dan Ryan",5,"2012-11-01 02:03:41-05","2012-11-01 02:13:41-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
74686,30105,30105,"Wilson","Service toward Howard",834,"Red",30105,"Howard",1,"2012-11-01 02:03:47-05","2012-11-01 02:08:47-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93363,30212,30212,"Monroe","Service toward 95th",838,"Red",30212,"95th/Dan Ryan",5,"2012-11-02 04:15:53-05","2012-11-02 04:20:53-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93364,30212,30212,"Monroe","Service toward 95th",839,"Red",30212,"95th/Dan Ryan",5,"2012-11-02 04:15:59-05","2012-11-02 04:32:59-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
93365,30211,30211,"Monroe","Service toward Howard",938,"Red",30211,"Howard",1,"2012-11-02 04:15:54-05","2012-11-02 04:24:54-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93366,30021,30021,"Morse","Service toward 95th",840,"Red",30021,"95th/Dan Ryan",5,"2012-11-02 04:16:00-05","2012-11-02 04:23:00-05",0,1,0,0,0,"2012-11-21 00:00:00-06"
93367,30020,30020,"Morse","Service toward Howard",936,"Red",30020,"Howard",1,"2012-11-02 04:15:32-05","2012-11-02 04:19:32-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93368,30020,30020,"Morse","Service toward Howard",901,"Red",30020,"Howard",1,"2012-11-02 04:15:53-05","2012-11-02 04:33:53-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
93369,30126,30126,"North/Clybourn","Service toward 95th",839,"Red",30126,"95th/Dan Ryan",5,"2012-11-02 04:15:59-05","2012-11-02 04:25:59-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93370,30125,30125,"North/Clybourn","Service toward Howard",937,"Red",30125,"Howard",1,"2012-11-02 04:15:46-05","2012-11-02 04:21:46-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93371,30125,30125,"North/Clybourn","Service toward Howard",938,"Red",30125,"Howard",1,"2012-11-02 04:15:54-05","2012-11-02 04:31:54-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
93372,30269,30269,"Roosevelt","Subway service toward Howard",938,"Red",30269,"Howard",1,"2012-11-02 04:15:54-05","2012-11-02 04:20:54-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93373,30270,30270,"Roosevelt","Subway service toward 95th",838,"Red",30270,"95th/Dan Ryan",5,"2012-11-02 04:15:53-05","2012-11-02 04:24:53-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93374,30017,30017,"Sheridan","Service toward 95th",801,"Red",30017,"95th/Dan Ryan",5,"2012-11-02 04:15:33-05","2012-11-02 04:28:33-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93375,30016,30016,"Sheridan","Service toward Howard",901,"Red",30016,"Howard",1,"2012-11-02 04:15:53-05","2012-11-02 04:20:53-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93376,30016,30016,"Sheridan","Service toward Howard",937,"Red",30016,"Howard",1,"2012-11-02 04:15:46-05","2012-11-02 04:29:46-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
93377,30037,30037,"Sox-35th","Service toward 95th",837,"Red",30037,"95th/Dan Ryan",5,"2012-11-02 04:15:49-05","2012-11-02 04:17:49-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93378,30037,30037,"Sox-35th","Service toward 95th",838,"Red",30037,"95th/Dan Ryan",5,"2012-11-02 04:15:53-05","2012-11-02 04:32:53-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
93379,30036,30036,"Sox-35th","Service toward Howard",939,"Red",30036,"Howard",1,"2012-11-02 04:15:58-05","2012-11-02 04:27:58-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93380,30036,30036,"Sox-35th","Service toward Howard",902,"Red",30036,"Howard",1,"2012-11-02 04:15:41-05","2012-11-02 04:32:41-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
93381,30170,30170,"Thorndale","Service toward 95th",801,"Red",30170,"95th/Dan Ryan",5,"2012-11-02 04:15:33-05","2012-11-02 04:20:33-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93382,30169,30169,"Thorndale","Service toward Howard",901,"Red",30169,"Howard",1,"2012-11-02 04:15:53-05","2012-11-02 04:29:53-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93383,30106,30106,"Wilson","Service toward 95th",801,"Red",30106,"95th/Dan Ryan",5,"2012-11-02 04:15:33-05","2012-11-02 04:26:33-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93384,30105,30105,"Wilson","Service toward Howard",901,"Red",30105,"Howard",1,"2012-11-02 04:15:53-05","2012-11-02 04:23:53-05",0,0,0,0,0,"2012-11-21 00:00:00-06"
93385,30105,30105,"Wilson","Service toward Howard",937,"Red",30105,"Howard",1,"2012-11-02 04:15:46-05","2012-11-02 04:32:46-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
96554,30037,30037,"Sox-35th","Service toward 95th",939,"Red",30037,"95th/Dan Ryan",5,"2012-11-02 06:07:44-05","2012-11-02 06:21:44-05",0,0,0,1,0,"2012-11-21 00:00:00-06"
